Afghanistan, +93
Albania, +355
Algeria, +213
Andorra, +376
Angola, +244
Argentina, +54
Armenia, +374
Australia, +61
Austria, +43
Azerbaigan, +994
Bahrain, +973
Bangladesh, +880
Belarus, +375
Belgium, +32
Bolivia, +591
Bosnia, +387
Brazil, +55
Bulgaria, +359
Cameroon, +237
Canada, +1
Chad, +235
Chile, +56
China[People's Republic], +86
Colombia, +57
Congo, +242
Costa Rica, +506
Croatia, +385
Cuba, +53
Cyprus, +357
Czech Republic, +420
Denmark, +45
Ecuador, +593
Egypt, +20
El Salvador, +503
Ethiopia, +251
Fiji, +679
Finland, +358
France, +33
Gabon, +241
Georgia, +995
Germany, +49
Ghana, +233
Gibraltar, +350
Greece, +30
Greenland, +299
Herzegovina, +387
Hong Kong, +852
Hungary, +36
Iceland, +354
India, +91
Indonesia, +62
Iran, +98
Iraq, +964
Ireland, +353
Italy, +36
Ivory Coast, +225
Japan, +81
Jordan, +962
Kazakhstan, +7
Kenya, +254
Korea, +85
Kuwait, +965
Laos, +856
Latvia, +371
Lebanon, +961
Liberia, +231
Libya, +218
Liechtenstein, +41
Lithuania, +370
Luxembourg, +352
Malaysia, +60
Maldives, +960
Mali, +223
Mauritius, +230
Malta, +356
Mexico, +52
Moldova, +373
Monaco, +377
Mongolia, +976
Morocco, +212
Mozambique, +258
Myanmar, +95
Namibia, +264
Netherlands, +31
New Caledonia, +687
Nepal, +977
New Zealand, +64
Nigeria, +234
North Korea, +850
Norway, +47
Oman, +968
Pakistan, +92
Panama, +507
Paraguay, +595
Peru, +51
Philippines, +63
Poland, +48
Portugal, +351
Qatar, +974
Romania, +40
Russia, +70
Rwanda, +250
Saudi Arabia, +966
Senegal, +221
Serbia, +381
Seychelles, +248
Sierra Leone, +232
Singapore, +65
Slovakia, +421
Somalia, +252
South Africa, +27
Spain, +34
Sri Lanka, +94
Sudan, +249
Sweden, +46
Switzerland, +41
Syria, +963
Taiwan, +886
Tanzania, +255
Thailand, +66
Tunisia, +216
Turkey, +90
Uganda, +256
Ukraine, +7
United Arab Emirates, +971
United Kingdom, +44
Uruguay, +598
USA, +1
Uzbekistan, +7
Vatican City St., +39
Venezuela, +58
Vietnam, +84
Yemen, +967
Yugoslavia, +38
Zaire, +243
Zambia, +260
Zimbabwe, +263
